260,Birdie,1.804,08-2017,SF1,Street Fighter
261,Menat,1.247,08-2017,SF5S2,Street Fighter V
262,Dhalsim,1.196,08-2017,SF2,Street Fighter II
263,F.A.N.G.,1.014,08-2017,SF5,Street Fighter V
264,Ryu,10.751,09-2017,SF1,Street Fighter
265,Akuma,9.29,09-2017,SF2T,Street Fighter II
266,Ken,7.547,09-2017,SF1,Street Fighter
267,Guile,5.498,09-2017,SF2,Street Fighter II
268,Karin,4.625,09-2017,SFA3,Street Fighter Alpha
269,Menat,4.585,09-2017,SF5S2,Street Fighter V
270,Cammy,4.327,09-2017,SF2NC,Street Fighter II
271,Urien,4.041,09-2017,SF3GI,Street Fighter III
272,Zangief,3.879,09-2017,SF2,Street Fighter II
273,Abigail,3.663,09-2017,FF,Final Fight
274,Dictator,3.576,09-2017,SF2,Street Fighter II
275,Laura,3.44,09-2017,SF5,Street Fighter V
276,Ed,3.095,09-2017,SF4,Street Fighter IV
277,Nash,2.958,09-2017,SFA,Street Fighter Alpha
278,Boxer,2.9,09-2017,SF2,Street Fighter II
279,Necalli,2.788,09-2017,SF5,Street Fighter V
280,Alex,2.649,09-2017,SF3,Street Fighter III
281,Rashid,2.568,09-2017,SF5,Street Fighter V
282,Ibuki,2.558,09-2017,SF3,Street Fighter III
283,Juri,2.512,09-2017,SSF4,Street Fighter IV
284,R. Mika,2.258,09-2017,SFA3,Street Fighter Alpha
285,Kolin,2.192,09-2017,SF3,Street Fighter III
286,Chun-Li,2.086,09-2017,SF2,Street Fighter II
287,Claw,2.046,09-2017,SF2,Street Fighter II
288,Birdie,1.972,09-2017,SF1,Street Fighter
289,Dhalsim,1.195,09-2017,SF2,Street Fighter II
290,F.A.N.G.,1.002,09-2017,SF5,Street Fighter V
291,Ryu,10.477,10-2017,SF1,Street Fighter
292,Akuma,9.486,10-2017,SF2T,Street Fighter II
293,Ken,7.307,10-2017,SF1,Street Fighter
294,Guile,5.188,10-2017,SF2,Street Fighter II
295,Zeku,4.796,10-2017,SFA2,Street Fighter Alpha
296,Cammy,4.659,10-2017,SF2NC,Street Fighter II
297,Karin,4.456,10-2017,SFA3,Street Fighter Alpha
298,Urien,4.052,10-2017,SF3GI,Street Fighter III
299,Zangief,3.849,10-2017,SF2,Street Fighter II
300,Dictator,3.776,10-2017,SF2,Street Fighter II
301,Laura,3.25,10-2017,SF5,Street Fighter V
302,Abigail,2.939,10-2017,FF,Final Fight
303,Ed,2.81,10-2017,SF4,Street Fighter IV
304,Nash,2.81,10-2017,SFA,Street Fighter Alpha
305,Boxer,2.738,10-2017,SF2,Street Fighter II
306,Necalli,2.668,10-2017,SF5,Street Fighter V
307,Alex,2.656,10-2017,SF3,Street Fighter III
308,Ibuki,2.518,10-2017,SF3,Street Fighter III
309,Rashid,2.436,10-2017,SF5,Street Fighter V
310,Juri,2.387,10-2017,SSF4,Street Fighter IV
311,Chun-Li,2.282,10-2017,SF2,Street Fighter II
312,R. Mika,2.18,10-2017,SFA3,Street Fighter Alpha
313,Kolin,2.142,10-2017,SF3,Street Fighter III
314,Birdie,2.117,10-2017,SF1,Street Fighter
315,Claw,1.975,10-2017,SF2,Street Fighter II
316,Menat,1.876,10-2017,SF5S2,Street Fighter V
317,Dhalsim,1.127,10-2017,SF2,Street Fighter II
318,F.A.N.G.,1.042,10-2017,SF5,Street Fighter V
