,Character,Usage Rate,Date
388,ララ,3.003,01-2018
389,ナッシュ,2.932,01-2018
390,ジュリ,2.88,01-2018
391,春麗,2.783,01-2018
392,コーリン,2.504,01-2018
393,是空,2.424,01-2018
394,バーディー,2.241,01-2018
395,ラシード,2.198,01-2018
396,バイソン,2.171,01-2018
397,ネカリ,2.153,01-2018
398,レインボー・ミカ,2.151,01-2018
399,いぶき,1.993,01-2018
400,バルログ,1.852,01-2018
401,メナト,1.373,01-2018
402,ダルシム,1.137,01-2018
403,ファン,1.103,01-2018
404,リュウ,11.301,02-2018
405,豪鬼,8.503,02-2018
406,ケン,7.015,02-2018
407,ガイル,5.627,02-2018
408,さくら,3.994,02-2018
409,キャミィ,3.949,02-2018
410,アビゲイル,3.723,02-2018
411,ベガ,3.632,02-2018
412,ザンギエフ,3.385,02-2018
413,かりん,3.366,02-2018
414,ユリアン,3.132,02-2018
415,ブランカ,3.101,02-2018
416,ナッシュ,2.992,02-2018
417,アレックス,2.917,02-2018
418,エド,2.805,02-2018
419,ララ,2.673,02-2018
420,ジュリ,2.626,02-2018
421,春麗,2.572,02-2018
422,コーリン,2.507,02-2018
423,ラシード,2.452,02-2018
424,バーディー,2.302,02-2018
425,レインボー・ミカ,2.298,02-2018
426,バイソン,2.058,02-2018
427,ネカリ,1.987,02-2018
428,いぶき,1.973,02-2018
429,是空,1.778,02-2018
430,バルログ,1.766,02-2018
431,メナト,1.32,02-2018
432,ダルシム,1.152,02-2018
433,ファン,1.094,02-2018
434,リュウ,10.764,03-2018
435,豪鬼,9.034,03-2018
436,ケン,7.106,03-2018
437,ガイル,5.979,03-2018
438,キャミィ,4.182,03-2018
439,ブランカ,3.691,03-2018
440,ベガ,3.68,03-2018
441,アビゲイル,3.66,03-2018
442,ユリアン,3.355,03-2018
443,かりん,3.345,03-2018
444,ザンギエフ,3.27,03-2018
445,ナッシュ,3.01,03-2018
446,さくら,2.991,03-2018
447,アレックス,2.718,03-2018
448,ララ,2.699,03-2018
449,エド,2.655,03-2018
450,ジュリ,2.569,03-2018
451,春麗,2.529,03-2018
452,コーリン,2.445,03-2018
453,ラシード,2.339,03-2018
454,レインボー・ミカ,2.302,03-2018
455,いぶき,2.224,03-2018
456,バーディー,2.183,03-2018
457,バイソン,2.107,03-2018
458,是空,1.951,03-2018
459,ネカリ,1.903,03-2018
460,バルログ,1.758,03-2018
461,メナト,1.344,03-2018
